Group	Bracketing	Prosody	Text	Solution	condition	item	playlist	First	lab	ResultLeft	ResultRight	ResultCorrect	participant	recordedfile	DifficultyRating	trialN
OnlyLeft	Left	Late boundary before operator	(4*5)-6=?	4*5-6=14	1	16	0	Times	four times five minus six equals fourteen	14	-4	14	582	arith7_582_16_1.wav	2	16
OnlyLeft	Left	No boundaries	(2+7)*8=?	(2+7)*8=72	1	1	0	PlusMinus	two plus seven times eight equals seventy two	72	58	72	583	arith7_583_1_1.wav	3	1
OnlyLeft	Left	Late boundary before operator	(3-2)*4=?	3-2*4=4	1	2	0	PlusMinus	three minus two times four equals four	4	-5	4	583	arith7_583_2_1.wav	5	2
OnlyLeft	Left	No boundaries	(8-1)*7=?	8-1*7=49	1	3	0	PlusMinus	eight minus one times seven equals forty nine	49	1	49	583	arith7_583_3_1.wav	1	3
OnlyLeft	Left	Late boundary before operator	(4-2)*9=?	4-2*9=18	1	5	0	PlusMinus	four minus two times nine equals eighteen	18	-14	18	583	arith7_583_5_1.wav	1	5
OnlyLeft	Left	No boundaries	(7-2)*6=?	7-2*6=30	1	6	0	PlusMinus	seven minus two times six equals thirty	30	-5	30	583	arith7_583_6_1.wav	1	6
OnlyLeft	Left	Two boundaries	(6+5)*4=?	6+5*4=44	1	8	0	PlusMinus	six plus five times four equals forty four	44	26	44	583	arith7_583_8_1.wav	2	8
OnlyLeft	Left	Late boundary before operator	(7*2)+8=?	7*2+8=22	1	9	0	Times	seven times two plus eight equals seventeen	17	70	17	583	arith7_583_9_1.wav	3	9
OnlyLeft	Left	No boundaries	(6*2)+4=?	6*2+4=16	1	10	0	Times	six times two plus four equals sixteen	16	36	16	583	arith7_583_10_1.wav	3	10
OnlyLeft	Left	No boundaries	(5*8)+1=?	5*8+1=41	1	11	0	Times	five times eight plus one equals forty one	41	45	41	583	arith7_583_11_1.wav	1	11
OnlyLeft	Left	No boundaries	(9*4)-7=?	9*4-7=29	1	12	0	Times	nine times four minus seven equals twenty nine	29	-27	29	583	arith7_583_12_1.wav	3	12
OnlyLeft	Left	No boundaries	(8*3)-2=?	8*3-2=22	1	13	0	Times	eight times three minus two equals twenty two	22	8	22	583	arith7_583_13_1.wav	2	13
OnlyLeft	Left	No boundaries	(3*4)-9=?	3*4-9=3	1	14	0	Times	three times four minus nine equals three	3	-15	3	583	arith7_583_14_1.wav	1	14
OnlyLeft	Left	No boundaries	(2*7)+3=?	2*7+3=17	1	15	0	Times	two times seven plus three equals seventeen	17	20	17	583	arith7_583_15_1.wav	1	15
OnlyLeft	Left	No boundaries	(4*5)-6=?	4*5-6=14	1	16	0	Times	four times five minus six equals fourteen	14	-4	14	583	arith7_583_16_1.wav	1	16
OnlyLeft	Left	Late boundary before operator	(2+7)*8=?	(2+7)*8=72	1	1	0	PlusMinus	two plus seven times eight equals seventy two	72	58	72	584	arith7_584_1_1.wav	2	1
OnlyLeft	Left	Late boundary before operator	(3-2)*4=?	3-2*4=4	1	2	0	PlusMinus	three minus two times four equals four	4	-5	4	584	arith7_584_2_1.wav	1	2
OnlyLeft	Left	Late boundary before operator	(8-1)*7=?	8-1*7=49	1	3	0	PlusMinus	eight minus one times seven equals forty nine	49	1	49	584	arith7_584_3_1.wav	1	3
OnlyLeft	Left	Late boundary before operator	(6+3)*2=?	6+3*2=18	1	4	0	PlusMinus	six plus three times two equals eighteen	18	12	18	584	arith7_584_4_1.wav	1	4
OnlyLeft	Left	Late boundary before operator	(4-2)*9=?	4-2*9=18	1	5	0	PlusMinus	four minus two times nine equals eighteen	18	-14	18	584	arith7_584_5_1.wav	1	5
OnlyLeft	Left	Late boundary before operator	(7-2)*6=?	7-2*6=30	1	6	0	PlusMinus	seven minus two times six equals thirty	30	-5	30	584	arith7_584_6_1.wav	2	6
OnlyLeft	Left	Late boundary before operator	(6+5)*4=?	6+5*4=44	1	8	0	PlusMinus	six plus five times four equals forty four	44	26	44	584	arith7_584_8_1.wav	1	8
OnlyLeft	Left	Late boundary before operator	(7*2)+8=?	7*2+8=22	1	9	0	Times	seven times two plus eight equals seventeen	17	70	17	584	arith7_584_9_1.wav	2	9
OnlyLeft	Left	Late boundary before operator	(6*2)+4=?	6*2+4=16	1	10	0	Times	six times two plus four equals sixteen	16	36	16	584	arith7_584_10_1.wav	2	10
OnlyLeft	Left	Late boundary before operator	(5*8)+1=?	5*8+1=41	1	11	0	Times	five times eight plus one equals forty one	41	45	41	584	arith7_584_11_1.wav	1	11
OnlyLeft	Left	Late boundary before operator	(9*4)-7=?	9*4-7=29	1	12	0	Times	nine times four minus seven equals twenty nine	29	-27	29	584	arith7_584_12_1.wav	2	12
OnlyLeft	Left	Late boundary before operator	(8*3)-2=?	8*3-2=22	1	13	0	Times	eight times three minus two equals twenty two	22	8	22	584	arith7_584_13_1.wav	1	13
OnlyLeft	Left	Late boundary before operator	(3*4)-9=?	3*4-9=3	1	14	0	Times	three times four minus nine equals three	3	-15	3	584	arith7_584_14_1.wav	1	14
OnlyLeft	Left	Late boundary before operator	(2*7)+3=?	2*7+3=17	1	15	0	Times	two times seven plus three equals seventeen	17	20	17	584	arith7_584_15_1.wav	1	15
OnlyLeft	Left	Late boundary before operator	(4*5)-6=?	4*5-6=14	1	16	0	Times	four times five minus six equals fourteen	14	-4	14	584	arith7_584_16_1.wav	2	16
OnlyLeft	Left	Late boundary before operator	(2+7)*8=?	(2+7)*8=72	1	1	0	PlusMinus	two plus seven times eight equals seventy two	72	58	72	585	arith7_585_1_1.wav	2	1
OnlyLeft	Left	No boundaries	(3-2)*4=?	3-2*4=4	1	2	0	PlusMinus	three minus two times four equals four	4	-5	4	585	arith7_585_2_1.wav	1	2
OnlyLeft	Left	No boundaries	(8-1)*7=?	8-1*7=49	1	3	0	PlusMinus	eight minus one times seven equals forty nine	49	1	49	585	arith7_585_3_1.wav	1	3
OnlyLeft	Left	No boundaries	(6+3)*2=?	6+3*2=18	1	4	0	PlusMinus	six plus three times two equals eighteen	18	12	18	585	arith7_585_4_1.wav	1	4
OnlyLeft	Left	No boundaries	(4-2)*9=?	4-2*9=18	1	5	0	PlusMinus	four minus two times nine equals eighteen	18	-14	18	585	arith7_585_5_1.wav	1	5
OnlyLeft	Left	Late boundary before operator	(7-2)*6=?	7-2*6=30	1	6	0	PlusMinus	seven minus two times six equals thirty	30	-5	30	585	arith7_585_6_1.wav	1	6
OnlyLeft	Left	No boundaries	(6+5)*4=?	6+5*4=44	1	8	0	PlusMinus	six plus five times four equals forty four	44	26	44	585	arith7_585_8_1.wav	1	8
OnlyLeft	Left	Late boundary before operator	(7*2)+8=?	7*2+8=22	1	9	0	Times	seven times two plus eight equals seventeen	17	70	17	585	arith7_585_9_1.wav	2	9
OnlyLeft	Left	Late boundary before operator	(6*2)+4=?	6*2+4=16	1	10	0	Times	six times two plus four equals sixteen	16	36	16	585	arith7_585_10_1.wav	1	10
OnlyLeft	Left	No boundaries	(5*8)+1=?	5*8+1=41	1	11	0	Times	five times eight plus one equals forty one	41	45	41	585	arith7_585_11_1.wav	1	11
OnlyLeft	Left	No boundaries	(9*4)-7=?	9*4-7=29	1	12	0	Times	nine times four minus seven equals twenty nine	29	-27	29	585	arith7_585_12_1.wav	1	12
OnlyLeft	Left	No boundaries	(8*3)-2=?	8*3-2=22	1	13	0	Times	eight times three minus two equals twenty two	22	8	22	585	arith7_585_13_1.wav	1	13
OnlyLeft	Left	No boundaries	(3*4)-9=?	3*4-9=3	1	14	0	Times	three times four minus nine equals three	3	-15	3	585	arith7_585_14_1.wav	1	14
OnlyLeft	Left	No boundaries	(2*7)+3=?	2*7+3=17	1	15	0	Times	two times seven plus three equals seventeen	17	20	17	585	arith7_585_15_1.wav	1	15
OnlyLeft	Left	No boundaries	(4*5)-6=?	4*5-6=14	1	16	0	Times	four times five minus six equals fourteen	14	-4	14	585	arith7_585_16_1.wav	1	16
OnlyLeft	Left	Late boundary before operator	(2+7)*8=?	(2+7)*8=72	1	1	0	PlusMinus	two plus seven times eight equals seventy two	72	58	72	586	arith7_586_1_1.wav	1	1
OnlyLeft	Left	Late boundary before operator	(3-2)*4=?	3-2*4=4	1	2	0	PlusMinus	three minus two times four equals four	4	-5	4	586	arith7_586_2_1.wav	1	2
OnlyLeft	Left	Late boundary before operator	(8-1)*7=?	8-1*7=49	1	3	0	PlusMinus	eight minus one times seven equals forty nine	49	1	49	586	arith7_586_3_1.wav	1	3
OnlyLeft	Left	Late boundary before operator	(6+3)*2=?	6+3*2=18	1	4	0	PlusMinus	six plus three times two equals eighteen	18	12	18	586	arith7_586_4_1.wav	1	4
OnlyLeft	Left	Late boundary before operator	(4-2)*9=?	4-2*9=18	1	5	0	PlusMinus	four minus two times nine equals eighteen	18	-14	18	586	arith7_586_5_1.wav	1	5
OnlyLeft	Left	No boundaries	(7-2)*6=?	7-2*6=30	1	6	0	PlusMinus	seven minus two times six equals thirty	30	-5	30	586	arith7_586_6_1.wav	1	6
OnlyLeft	Left	Two boundaries	(6+5)*4=?	6+5*4=44	1	8	0	PlusMinus	six plus five times four equals forty four	44	26	44	586	arith7_586_8_1.wav	1	8
OnlyLeft	Left	No boundaries	(7*2)+8=?	7*2+8=22	1	9	0	Times	seven times two plus eight equals seventeen	17	70	17	586	arith7_586_9_1.wav	1	9
OnlyLeft	Left	No boundaries	(6*2)+4=?	6*2+4=16	1	10	0	Times	six times two plus four equals sixteen	16	36	16	586	arith7_586_10_1.wav	1	10
OnlyLeft	Left	No boundaries	(5*8)+1=?	5*8+1=41	1	11	0	Times	five times eight plus one equals forty one	41	45	41	586	arith7_586_11_1.wav	1	11
OnlyLeft	Left	Late boundary before operator	(9*4)-7=?	9*4-7=29	1	12	0	Times	nine times four minus seven equals twenty nine	29	-27	29	586	arith7_586_12_1.wav	2	12
OnlyLeft	Left	Late boundary before operator	(8*3)-2=?	8*3-2=22	1	13	0	Times	eight times three minus two equals twenty two	22	8	22	586	arith7_586_13_1.wav	1	13
OnlyLeft	Left	Late boundary before operator	(3*4)-9=?	3*4-9=3	1	14	0	Times	three times four minus nine equals three	3	-15	3	586	arith7_586_14_1.wav	1	14
OnlyLeft	Left	Late boundary before operator	(2*7)+3=?	2*7+3=17	1	15	0	Times	two times seven plus three equals seventeen	17	20	17	586	arith7_586_15_1.wav	1	15
OnlyLeft	Left	Late boundary before operator	(4*5)-6=?	4*5-6=14	1	16	0	Times	four times five minus six equals fourteen	14	-4	14	586	arith7_586_16_1.wav	1	16
OnlyLeft	Left	No boundaries	(3-2)*4=?	3-2*4=4	1	2	0	PlusMinus	three minus two times four equals four	4	-5	4	587	arith7_587_2_1.wav	2	2
OnlyLeft	Left	Late boundary before operator	(8-1)*7=?	8-1*7=49	1	3	0	PlusMinus	eight minus one times seven equals forty nine	49	1	49	587	arith7_587_3_1.wav	2	3
OnlyLeft	Left	Late boundary before operator	(6+3)*2=?	6+3*2=18	1	4	0	PlusMinus	six plus three times two equals eighteen	18	12	18	587	arith7_587_4_1.wav	1	4
OnlyLeft	Left	No boundaries	(4-2)*9=?	4-2*9=18	1	5	0	PlusMinus	four minus two times nine equals eighteen	18	-14	18	587	arith7_587_5_1.wav	3	5
OnlyLeft	Left	No boundaries	(7-2)*6=?	7-2*6=30	1	6	0	PlusMinus	seven minus two times six equals thirty	30	-5	30	587	arith7_587_6_1.wav	3	6
OnlyLeft	Left	Late boundary before operator	(8+3)*5=?	8+3*5=55	1	7	0	PlusMinus	eight plus three times five equals fifty five	55	23	55	587	arith7_587_7_1.wav	3	7
OnlyLeft	Left	Late boundary before operator	(6+5)*4=?	6+5*4=44	1	8	0	PlusMinus	six plus five times four equals forty four	44	26	44	587	arith7_587_8_1.wav	3	8
OnlyLeft	Left	Late boundary before operator	(7*2)+8=?	7*2+8=22	1	9	0	Times	seven times two plus eight equals seventeen	17	70	17	587	arith7_587_9_1.wav	4	9
OnlyLeft	Left	Late boundary before operator	(6*2)+4=?	6*2+4=16	1	10	0	Times	six times two plus four equals sixteen	16	36	16	587	arith7_587_10_1.wav	2	10
OnlyLeft	Left	Late boundary before operator	(5*8)+1=?	5*8+1=41	1	11	0	Times	five times eight plus one equals forty one	41	45	41	587	arith7_587_11_1.wav	2	11
OnlyLeft	Left	Two boundaries	(9*4)-7=?	9*4-7=29	1	12	0	Times	nine times four minus seven equals twenty nine	29	-27	29	587	arith7_587_12_1.wav	3	12
OnlyLeft	Left	No boundaries	(8*3)-2=?	8*3-2=22	1	13	0	Times	eight times three minus two equals twenty two	22	8	22	587	arith7_587_13_1.wav	3	13
OnlyLeft	Left	Late boundary before operator	(3*4)-9=?	3*4-9=3	1	14	0	Times	three times four minus nine equals three	3	-15	3	587	arith7_587_14_1.wav	2	14
OnlyLeft	Left	No boundaries	(2*7)+3=?	2*7+3=17	1	15	0	Times	two times seven plus three equals seventeen	17	20	17	587	arith7_587_15_1.wav	2	15
OnlyLeft	Left	Late boundary before operator	(4*5)-6=?	4*5-6=14	1	16	0	Times	four times five minus six equals fourteen	14	-4	14	587	arith7_587_16_1.wav	3	16
OnlyRight	Right	Early boundary after operator	2+(7*8)=?	2+(7*8)=58	1	1	0	PlusMinus	two plus seven times eight equals fifty eight	72	58	58	588	arith11_588_1_1.wav	2	1
OnlyRight	Right	Early boundary after operator	3-(2*4)=?	3-(2*4)=-5	1	2	0	PlusMinus	three minus two times four equals negative five	4	-5	-5	588	arith11_588_2_1.wav	2	2
OnlyRight	Right	Early boundary before operator	8-(1*7)=?	8-(1*7)=1	1	3	0	PlusMinus	eight minus one times seven equals one	49	1	1	588	arith11_588_3_1.wav	2	3
OnlyRight	Right	Early boundary before operator	6+(3*2)=?	6+(3*2)=12	1	4	0	PlusMinus	six plus three times two equals twelce	18	12	12	588	arith11_588_4_1.wav	2	4
OnlyRight	Right	Early boundary before operator	4-(2*9)=?	4-(2*9)=-14	1	5	0	PlusMinus	four minus two times nine equals negative fourteen	18	-14	-14	588	arith11_588_5_1.wav	2	5
OnlyRight	Right	Early boundary before operator	7-(2*6)=?	7-(2*6)=-5	1	6	0	PlusMinus	seven minus two times six equals negative five	30	-5	-5	588	arith11_588_6_1.wav	3	6
OnlyRight	Right	Early boundary before operator	8+(3*5)=?	8+(3*5)=23	1	7	0	PlusMinus	eight plus three times five equals twenty three	55	23	23	588	arith11_588_7_1.wav	3	7
OnlyRight	Right	Early boundary before operator	6+(5*4)=?	6+(5*4)=26	1	8	0	PlusMinus	six plus five times four equals twenty six	44	26	26	588	arith11_588_8_1.wav	1	8
OnlyRight	Right	Early boundary before operator	7*(2+8)=?	7*(2+8)=70	1	9	0	Times	seven times two plus eight equals seventy	17	70	70	588	arith11_588_9_1.wav	1	9
OnlyRight	Right	Early boundary before operator	6*(2+4)=?	6*(2+4)=36	1	10	0	Times	six times two plus four equals thirty six	16	36	36	588	arith11_588_10_1.wav	1	10
OnlyRight	Right	Early boundary before operator	5*(8+1)=?	5*(8+1)=45	1	11	0	Times	five times eight plus one equals forty five	41	45	45	588	arith11_588_11_1.wav	1	11
OnlyRight	Right	Early boundary before operator	9*(4-7)=?	9*(4-7)=-27	1	12	0	Times	nine times four minus seven equals negative twenty seven	29	-27	-27	588	arith11_588_12_1.wav	3	12
OnlyRight	Right	Early boundary before operator	8*(3-2)=?	8*(3-2)=8	1	13	0	Times	eight times three minus two equals 8 	22	8	8	588	arith11_588_13_1.wav	1	13
OnlyRight	Right	Early boundary before operator	3*(4-9)=?	3*(4-9)=-15	1	14	0	Times	three times four minus nine equals negative fifteen	3	-15	-15	588	arith11_588_14_1.wav	1	14
OnlyRight	Right	Early boundary before operator	4*(5-6)=?	4*(5-6)=-4	1	16	0	Times	four times five minus six equals negative four	14	-4	-4	588	arith11_588_16_1.wav	1	16
OnlyRight	Right	Early boundary after operator	2+(7*8)=?	2+(7*8)=58	1	1	0	PlusMinus	two plus seven times eight equals fifty eight	72	58	58	589	arith11_589_1_1.wav	2	1
OnlyRight	Right	Early boundary after operator	3-(2*4)=?	3-(2*4)=-5	1	2	0	PlusMinus	three minus two times four equals negative five	4	-5	-5	589	arith11_589_2_1.wav	3	2
OnlyRight	Right	No boundaries	8-(1*7)=?	8-(1*7)=1	1	3	0	PlusMinus	eight minus one times seven equals one	49	1	1	589	arith11_589_3_1.wav	2	3
OnlyRight	Right	No boundaries	6+(3*2)=?	6+(3*2)=12	1	4	0	PlusMinus	six plus three times two equals twelce	18	12	12	589	arith11_589_4_1.wav	2	4
OnlyRight	Right	Early boundary after operator	4-(2*9)=?	4-(2*9)=-14	1	5	0	PlusMinus	four minus two times nine equals negative fourteen	18	-14	-14	589	arith11_589_5_1.wav	3	5
OnlyRight	Right	No boundaries	7-(2*6)=?	7-(2*6)=-5	1	6	0	PlusMinus	seven minus two times six equals negative five	30	-5	-5	589	arith11_589_6_1.wav	2	6
OnlyRight	Right	No boundaries	8+(3*5)=?	8+(3*5)=23	1	7	0	PlusMinus	eight plus three times five equals twenty three	55	23	23	589	arith11_589_7_1.wav	2	7
OnlyRight	Right	Early boundary after operator	6+(5*4)=?	6+(5*4)=26	1	8	0	PlusMinus	six plus five times four equals twenty six	44	26	26	589	arith11_589_8_1.wav	2	8
OnlyRight	Right	Early boundary after operator	7*(2+8)=?	7*(2+8)=70	1	9	0	Times	seven times two plus eight equals seventy	17	70	70	589	arith11_589_9_1.wav	2	9
OnlyRight	Right	Early boundary after operator	6*(2+4)=?	6*(2+4)=36	1	10	0	Times	six times two plus four equals thirty six	16	36	36	589	arith11_589_10_1.wav	3	10
OnlyRight	Right	Early boundary after operator	5*(8+1)=?	5*(8+1)=45	1	11	0	Times	five times eight plus one equals forty five	41	45	45	589	arith11_589_11_1.wav	2	11
OnlyRight	Right	Early boundary before operator	9*(4-7)=?	9*(4-7)=-27	1	12	0	Times	nine times four minus seven equals negative twenty seven	29	-27	-27	589	arith11_589_12_1.wav	3	12
OnlyRight	Right	No boundaries	8*(3-2)=?	8*(3-2)=8	1	13	0	Times	eight times three minus two equals 8 	22	8	8	589	arith11_589_13_1.wav	2	13
OnlyRight	Right	Early boundary after operator	3*(4-9)=?	3*(4-9)=-15	1	14	0	Times	three times four minus nine equals negative fifteen	3	-15	-15	589	arith11_589_14_1.wav	3	14
OnlyRight	Right	Early boundary after operator	2*(7+3)=?	2*(7+3)=20	1	15	0	Times	two times seven plus three equals twenty	17	20	20	589	arith11_589_15_1.wav	2	15
OnlyRight	Right	No boundaries	4*(5-6)=?	4*(5-6)=-4	1	16	0	Times	four times five minus six equals negative four	14	-4	-4	589	arith11_589_16_1.wav	2	16
OnlyRight	Right	Early boundary after operator	2+(7*8)=?	2+(7*8)=58	1	1	0	PlusMinus	two plus seven times eight equals fifty eight	72	58	58	591	arith11_591_1_1.wav	1	1
OnlyRight	Right	Early boundary after operator	3-(2*4)=?	3-(2*4)=-5	1	2	0	PlusMinus	three minus two times four equals negative five	4	-5	-5	591	arith11_591_2_1.wav	1	2
OnlyRight	Right	Early boundary before operator	8-(1*7)=?	8-(1*7)=1	1	3	0	PlusMinus	eight minus one times seven equals one	49	1	1	591	arith11_591_3_1.wav	1	3
OnlyRight	Right	Early boundary after operator	6+(3*2)=?	6+(3*2)=12	1	4	0	PlusMinus	six plus three times two equals twelce	18	12	12	591	arith11_591_4_1.wav	1	4
OnlyRight	Right	Early boundary after operator	4-(2*9)=?	4-(2*9)=-14	1	5	0	PlusMinus	four minus two times nine equals negative fourteen	18	-14	-14	591	arith11_591_5_1.wav	2	5
OnlyRight	Right	Early boundary after operator	7-(2*6)=?	7-(2*6)=-5	1	6	0	PlusMinus	seven minus two times six equals negative five	30	-5	-5	591	arith11_591_6_1.wav	1	6
OnlyRight	Right	Early boundary after operator	8+(3*5)=?	8+(3*5)=23	1	7	0	PlusMinus	eight plus three times five equals twenty three	55	23	23	591	arith11_591_7_1.wav	2	7
OnlyRight	Right	Early boundary after operator	6+(5*4)=?	6+(5*4)=26	1	8	0	PlusMinus	six plus five times four equals twenty six	44	26	26	591	arith11_591_8_1.wav	1	8
OnlyRight	Right	Early boundary before operator	7*(2+8)=?	7*(2+8)=70	1	9	0	Times	seven times two plus eight equals seventy	17	70	70	591	arith11_591_9_1.wav	1	9
OnlyRight	Right	Early boundary before operator	6*(2+4)=?	6*(2+4)=36	1	10	0	Times	six times two plus four equals thirty six	16	36	36	591	arith11_591_10_1.wav	1	10
OnlyRight	Right	Early boundary before operator	5*(8+1)=?	5*(8+1)=45	1	11	0	Times	five times eight plus one equals forty five	41	45	45	591	arith11_591_11_1.wav	2	11
OnlyRight	Right	Early boundary before operator	9*(4-7)=?	9*(4-7)=-27	1	12	0	Times	nine times four minus seven equals negative twenty seven	29	-27	-27	591	arith11_591_12_1.wav	2	12
OnlyRight	Right	Early boundary before operator	8*(3-2)=?	8*(3-2)=8	1	13	0	Times	eight times three minus two equals 8 	22	8	8	591	arith11_591_13_1.wav	1	13
OnlyRight	Right	Early boundary before operator	3*(4-9)=?	3*(4-9)=-15	1	14	0	Times	three times four minus nine equals negative fifteen	3	-15	-15	591	arith11_591_14_1.wav	1	14
OnlyRight	Right	Early boundary after operator	2*(7+3)=?	2*(7+3)=20	1	15	0	Times	two times seven plus three equals twenty	17	20	20	591	arith11_591_15_1.wav	1	15
OnlyRight	Right	Early boundary before operator	4*(5-6)=?	4*(5-6)=-4	1	16	0	Times	four times five minus six equals negative four	14	-4	-4	591	arith11_591_16_1.wav	1	16
OnlyRight	Right	No boundaries	3*(4-9)=?	3*(4-9)=-15	1	14	0	Times	three times four minus nine equals negative fifteen	3	-15	-15	592	arith11_592_14_1.wav	1	14
OnlyRight	Right	No boundaries	2*(7+3)=?	2*(7+3)=20	1	15	0	Times	two times seven plus three equals twenty	17	20	20	592	arith11_592_15_1.wav	1	15
OnlyRight	Right	Early boundary before operator	4*(5-6)=?	4*(5-6)=-4	1	16	0	Times	four times five minus six equals negative four	14	-4	-4	592	arith11_592_16_1.wav	1	16
OnlyRight	Right	No boundaries	2+(7*8)=?	2+(7*8)=58	1	1	0	PlusMinus	two plus seven times eight equals fifty eight	72	58	58	594	arith11_594_1_1.wav	3	1
OnlyRight	Right	Early boundary before operator	3-(2*4)=?	3-(2*4)=-5	1	2	0	PlusMinus	three minus two times four equals negative five	4	-5	-5	594	arith11_594_2_1.wav	2	2
OnlyRight	Right	Early boundary before operator	8-(1*7)=?	8-(1*7)=1	1	3	0	PlusMinus	eight minus one times seven equals one	49	1	1	594	arith11_594_3_1.wav	1	3
OnlyRight	Right	Early boundary before operator	6+(3*2)=?	6+(3*2)=12	1	4	0	PlusMinus	six plus three times two equals twelce	18	12	12	594	arith11_594_4_1.wav	1	4
OnlyRight	Right	Early boundary before operator	4-(2*9)=?	4-(2*9)=-14	1	5	0	PlusMinus	four minus two times nine equals negative fourteen	18	-14	-14	594	arith11_594_5_1.wav	2	5
OnlyRight	Right	Early boundary before operator	7-(2*6)=?	7-(2*6)=-5	1	6	0	PlusMinus	seven minus two times six equals negative five	30	-5	-5	594	arith11_594_6_1.wav	3	6
OnlyRight	Right	Early boundary before operator	8+(3*5)=?	8+(3*5)=23	1	7	0	PlusMinus	eight plus three times five equals twenty three	55	23	23	594	arith11_594_7_1.wav	2	7
OnlyRight	Right	Early boundary after operator	6+(5*4)=?	6+(5*4)=26	1	8	0	PlusMinus	six plus five times four equals twenty six	44	26	26	594	arith11_594_8_1.wav	1	8
OnlyRight	Right	Early boundary before operator	7*(2+8)=?	7*(2+8)=70	1	9	0	Times	seven times two plus eight equals seventy	17	70	70	594	arith11_594_9_1.wav	1	9
OnlyRight	Right	Early boundary before operator	6*(2+4)=?	6*(2+4)=36	1	10	0	Times	six times two plus four equals thirty six	16	36	36	594	arith11_594_10_1.wav	1	10
OnlyRight	Right	Early boundary before operator	5*(8+1)=?	5*(8+1)=45	1	11	0	Times	five times eight plus one equals forty five	41	45	45	594	arith11_594_11_1.wav	1	11
OnlyRight	Right	Early boundary before operator	9*(4-7)=?	9*(4-7)=-27	1	12	0	Times	nine times four minus seven equals negative twenty seven	29	-27	-27	594	arith11_594_12_1.wav	3	12
OnlyRight	Right	Early boundary before operator	8*(3-2)=?	8*(3-2)=8	1	13	0	Times	eight times three minus two equals 8 	22	8	8	594	arith11_594_13_1.wav	1	13
OnlyRight	Right	Early boundary before operator	3*(4-9)=?	3*(4-9)=-15	1	14	0	Times	three times four minus nine equals negative fifteen	3	-15	-15	594	arith11_594_14_1.wav	2	14
OnlyRight	Right	Early boundary before operator	2*(7+3)=?	2*(7+3)=20	1	15	0	Times	two times seven plus three equals twenty	17	20	20	594	arith11_594_15_1.wav	1	15
OnlyRight	Right	Early boundary before operator	4*(5-6)=?	4*(5-6)=-4	1	16	0	Times	four times five minus six equals negative four	14	-4	-4	594	arith11_594_16_1.wav	1	16
OnlyRight	Right	No boundaries	2+(7*8)=?	2+(7*8)=58	1	1	0	PlusMinus	two plus seven times eight equals fifty eight	72	58	58	595	arith11_595_1_1.wav	2	1
OnlyRight	Right	Early boundary before operator	3-(2*4)=?	3-(2*4)=-5	1	2	0	PlusMinus	three minus two times four equals negative five	4	-5	-5	595	arith11_595_2_1.wav	1	2
OnlyRight	Right	Early boundary before operator	6+(3*2)=?	6+(3*2)=12	1	4	0	PlusMinus	six plus three times two equals twelce	18	12	12	595	arith11_595_4_1.wav	1	4
OnlyRight	Right	Early boundary before operator	7*(2+8)=?	7*(2+8)=70	1	9	0	Times	seven times two plus eight equals seventy	17	70	70	595	arith11_595_9_1.wav	1	9
OnlyRight	Right	Early boundary before operator	6*(2+4)=?	6*(2+4)=36	1	10	0	Times	six times two plus four equals thirty six	16	36	36	595	arith11_595_10_1.wav	1	10
OnlyRight	Right	Early boundary before operator	5*(8+1)=?	5*(8+1)=45	1	11	0	Times	five times eight plus one equals forty five	41	45	45	595	arith11_595_11_1.wav	1	11
OnlyRight	Right	Early boundary after operator	9*(4-7)=?	9*(4-7)=-27	1	12	0	Times	nine times four minus seven equals negative twenty seven	29	-27	-27	595	arith11_595_12_1.wav	1	12
OnlyRight	Right	No boundaries	3*(4-9)=?	3*(4-9)=-15	1	14	0	Times	three times four minus nine equals negative fifteen	3	-15	-15	595	arith11_595_14_1.wav	1	14
OnlyRight	Right	Early boundary before operator	4*(5-6)=?	4*(5-6)=-4	1	16	0	Times	four times five minus six equals negative four	14	-4	-4	595	arith11_595_16_1.wav	1	16
OnlyRight	Right	Early boundary before operator	2+(7*8)=?	2+(7*8)=58	1	1	0	PlusMinus	two plus seven times eight equals fifty eight	72	58	58	596	arith11_596_1_1.wav	3	1
OnlyRight	Right	Early boundary before operator	3-(2*4)=?	3-(2*4)=-5	1	2	0	PlusMinus	three minus two times four equals negative five	4	-5	-5	596	arith11_596_2_1.wav	2	2
OnlyRight	Right	Early boundary before operator	8-(1*7)=?	8-(1*7)=1	1	3	0	PlusMinus	eight minus one times seven equals one	49	1	1	596	arith11_596_3_1.wav	1	3
OnlyRight	Right	Early boundary before operator	6+(3*2)=?	6+(3*2)=12	1	4	0	PlusMinus	six plus three times two equals twelce	18	12	12	596	arith11_596_4_1.wav	1	4
OnlyRight	Right	Early boundary after operator	4-(2*9)=?	4-(2*9)=-14	1	5	0	PlusMinus	four minus two times nine equals negative fourteen	18	-14	-14	596	arith11_596_5_1.wav	2	5
OnlyRight	Right	Early boundary after operator	7-(2*6)=?	7-(2*6)=-5	1	6	0	PlusMinus	seven minus two times six equals negative five	30	-5	-5	596	arith11_596_6_1.wav	2	6
OnlyRight	Right	Early boundary after operator	8+(3*5)=?	8+(3*5)=23	1	7	0	PlusMinus	eight plus three times five equals twenty three	55	23	23	596	arith11_596_7_1.wav	2	7
OnlyRight	Right	Early boundary after operator	6+(5*4)=?	6+(5*4)=26	1	8	0	PlusMinus	six plus five times four equals twenty six	44	26	26	596	arith11_596_8_1.wav	2	8
